UMAP1,UMAP2,UMAP3,label
5.325947,0.6708435,6.7626333,0
1.8230767,-1.9030688,6.5111794,1
4.8150954,0.585449,6.9460726,4
6.9410534,0.842926,3.0255156,6
10.844969,5.8597655,3.4315436,3
10.553045,2.4858258,2.7542512,3
0.7823611,0.009042693,6.580607,2
2.358493,-1.199612,5.293195,0
0.8021862,-0.14438048,5.327253,2
0.95901126,2.228702,8.230258,0
11.418964,6.95064,5.7737675,3
3.377362,1.2813987,9.348534,0
5.304936,0.93026525,8.02179,4
-0.29697195,2.7243485,7.9638286,2
4.760696,0.5441276,3.402134,6
-1.0082603,7.4263806,8.708618,2
-1.7707378,6.376361,8.035182,5
2.1458917,3.3546102,8.951812,0
0.0022554654,8.717932,8.97452,5
11.034205,3.523728,3.1013014,3
0.29160133,6.8612313,8.684271,2
-0.4815815,8.6525545,8.896943,5
5.020382,0.43529493,4.562025,0
2.5107,-0.9735336,4.0490546,4
5.525961,0.5849378,8.189231,0
5.5728235,0.69558567,6.120536,2
1.9517553,-2.1958048,4.9815884,4
-0.029959694,8.297524,8.691812,4
5.2940216,1.4730272,9.001503,0
-0.7298437,7.612759,8.258379,2
11.463983,4.00596,2.6275506,3
4.9282675,0.20428658,5.5328836,6
10.579134,6.1875157,5.1304216,3
5.8010945,2.073541,2.3331263,6
5.6009207,0.59973925,5.9042134,0
3.3917294,2.1071792,8.38867,4
3.5898619,0.33727333,3.7431538,6
0.2706107,2.213594,7.879391,2
6.910794,1.3829274,2.2829173,6
11.525869,6.116553,4.2404494,3
5.277937,0.9526859,8.864326,0
1.8301086,-1.7046815,5.8461843,4
5.877271,0.8868378,7.6817365,4
4.0981154,0.18358754,5.4669604,2
3.5450041,0.06622183,3.8265939,6
10.190348,5.8551083,4.718046,3
-1.007078,7.604208,7.990873,5
10.201538,6.4233704,4.533053,3
-1.4706209,6.4156227,8.135421,5
4.1202016,0.5071363,5.2732797,6
5.708584,0.9948897,4.7706666,0
11.603176,5.7545757,4.6656804,3
-0.96987754,7.507994,8.563308,5
1.4732383,-1.2967514,4.9278426,4
2.0271642,-1.6093034,5.2758527,4
9.950794,5.519632,5.4174213,3
-0.21319191,1.6988287,7.602583,4
1.7500306,-1.8898286,4.698147,2
-1.3114545,8.18738,8.437543,5
10.60653,5.840559,5.282631,3
6.462335,1.1570555,2.5146716,6
10.454124,7.7353177,6.238564,3
2.4861042,-1.9406984,4.476873,4
0.08931645,5.5530953,9.208816,3
-1.2497475,8.024355,8.7229805,5
11.277005,4.0646853,3.7951381,3
-0.24332277,7.821413,8.359031,5
5.5858655,1.1437156,3.3783436,4
-0.46037194,4.324391,7.6788907,2
9.707922,2.5366797,3.0767853,6
4.764599,0.24633178,6.2769475,0
-1.2056663,8.499967,8.659024,5
7.313666,1.4772403,2.9333067,6
10.446703,3.1953464,3.037772,6
0.9760305,0.9854772,9.239298,2
5.7698994,1.3576975,4.0979953,6
-0.98841804,8.512036,8.987219,5
6.724068,1.053747,4.1348467,6
2.165925,-2.047888,6.5717382,4
1.2495309,-1.2564287,5.076747,4
3.5926971,-0.11008226,5.9392333,0
4.800577,1.746853,9.356099,0
4.050991,-0.054397285,6.954725,1
10.361249,4.859719,4.114259,3
-0.89491284,6.5104795,8.582224,5
3.0677376,-0.07935,6.109112,4
11.778887,7.044948,5.349977,3
12.067493,6.109963,4.308576,3
-0.94778854,7.13134,8.914179,3
10.496588,2.8957822,3.0107815,3
6.9046693,0.8746406,2.5762274,6
3.7808454,2.2934132,9.657591,0
10.776524,7.6979413,6.01782,6
4.8676534,0.5551921,7.0313983,4
3.1784246,1.776827,9.665936,5
5.777549,-0.22791676,9.103203,2
-0.103431545,5.0500164,8.74796,3
11.806193,5.984175,4.2098017,3
11.074867,6.2770658,5.4521723,3
4.7637224,1.6176773,8.79199,0
10.559094,6.209529,3.5271082,3
5.4602246,1.2407054,3.361797,6
5.2049036,0.4593236,6.304264,0
10.674244,6.8495917,4.79937,3
2.4528437,3.0779235,9.14441,2
5.9302926,0.19126019,9.190313,3
5.3687468,1.7433167,3.3381433,6
4.2694006,1.1085263,3.3253274,6
5.758213,1.7445943,1.9295472,5
10.560078,2.7432313,2.8837376,3
11.251881,6.2150407,4.943549,3
9.4389,4.559731,4.57801,0
3.3618472,2.4474533,9.162549,0
1.6339098,-0.23846756,5.5786347,2
11.179003,4.473877,4.0115066,3
0.81102985,0.82767814,7.361751,2
11.494728,6.468136,5.1146216,3
6.5277004,1.2646793,2.849639,6
0.5522757,1.9430732,7.5473566,2
4.376209,0.24662867,4.344768,6
-1.3578507,7.4038696,8.475822,5
10.434951,5.5914216,5.314163,0
5.7743897,1.4615079,8.846076,0
-0.2445087,2.0141044,7.730159,2
2.0083458,-1.4736687,5.669619,4
7.3246593,1.928401,1.9852641,6
10.44326,7.7326574,6.2992864,3
4.177593,0.17325017,5.9077616,6
0.49847043,6.706378,9.717235,5
0.15685734,7.545589,8.694509,5
-0.37874496,2.081115,7.589088,2
6.6105747,0.88696355,2.4460263,0
0.106472015,0.32505918,6.159768,2
5.4558773,0.7438088,4.0302787,6
-0.05251649,8.773859,8.677992,5
-1.0528921,7.980644,8.906603,5
-1.1855587,8.01531,8.176004,5
10.4922495,3.727053,3.0160983,6
5.086337,2.152109,3.0600972,2
4.781573,0.9604613,3.5073934,6
5.608196,0.5682075,5.591162,6
10.896326,6.8666725,5.8408327,3
4.9767714,-0.0093900645,7.9914765,1
2.8424473,-0.82489777,3.908654,4
0.7044501,1.7143048,6.539867,4
6.4689317,0.8307227,5.475419,6
11.549555,5.345522,3.7524,3
11.638083,4.726266,3.7570555,3
9.851412,2.7416754,3.085707,3
0.37662083,2.4240494,8.274583,2
2.4531608,-2.0143838,4.986211,2
3.3622515,1.5612521,9.377665,0
-1.5119704,7.372426,8.708518,5
11.906018,6.0714655,4.1309876,3
-0.6349934,8.562401,8.828888,5
-1.1151618,7.952192,8.50316,5
1.6206896,-1.5477319,7.191858,4
-1.532113,8.139709,8.894275,5
2.5951207,1.9392588,9.75726,0
10.541111,6.4911404,3.775333,3
4.4324336,0.9643529,8.072618,0
11.91019,5.240607,2.920157,3
10.545583,6.3762493,3.5565205,3
10.458104,6.2069936,5.887472,0
4.1114655,0.5330487,4.202389,6
5.268701,0.5322807,4.6354322,6
6.120396,1.0676922,3.6419404,3
4.1566625,0.15969373,7.3179502,4
-0.9098281,8.774179,8.713063,5
7.499983,1.2811408,2.967365,3
4.9140444,-0.1890929,3.254203,6
2.049707,-1.6963676,6.8786097,4
-0.7858091,6.775245,8.848308,5
6.5772834,1.3508117,2.4419963,6
5.844748,0.33980823,8.222773,0
4.402521,0.1394656,7.0809765,0
5.77998,0.11518672,8.746338,0
1.5513622,1.6203648,7.9001946,4
1.5696621,-0.6478698,5.9472365,4
-1.0688637,7.051566,8.822906,5
5.695448,0.46960765,4.4804006,4
11.748873,3.9955437,3.199451,3
-0.45935014,4.5227933,7.9615355,5
11.404187,5.80466,3.352147,3
10.474849,5.6447062,4.678263,3
5.4371796,0.9495218,5.297757,0
0.8916732,0.20015131,5.891163,4
10.202002,6.3439407,4.7208133,3
10.326409,6.696868,4.565961,3
11.630937,5.724951,3.9737985,3
2.1697989,-2.7680187,5.2175965,4
10.23214,3.3265479,3.42865,6
-0.60746247,7.6200767,8.232406,5
-0.058516935,4.0574236,8.01771,5
11.705518,3.910946,3.2240398,3
5.0458426,0.29162988,2.4203486,6
-1.0895554,6.914786,8.304156,5
7.326468,1.1493168,3.5695632,6
2.8157692,1.3952615,9.112325,0
5.1039114,0.008155707,8.07874,1
9.801556,2.7475972,3.050111,3
9.978833,3.0163527,2.7621684,6
0.3669908,4.4606028,8.501252,2
11.202411,5.8326726,3.5888228,3
10.247778,4.7082815,2.9818146,6
0.03487459,2.7754567,7.8450866,2
1.6503229,-1.8270519,5.7937727,0
1.7889736,-2.1238198,5.1433887,4
-0.15329807,1.5666305,7.419202,2
-0.4281561,2.7154841,7.368624,2
5.562482,0.7128951,4.7805767,6
5.6750894,-0.8416067,10.187915,0
3.3460112,1.5005361,9.331617,4
4.060811,-0.050320707,5.5189414,4
1.4584271,-1.129946,4.977797,4
-1.279198,7.964692,8.659116,2
-0.38756672,4.230654,7.8268437,5
2.307185,-0.7210574,4.0916877,4
2.3111293,-2.3083405,4.3828816,0
10.780632,6.3757286,4.5132833,3
0.7634136,2.7479484,8.896526,3
2.1586041,-2.5944388,4.812216,4
-0.3787949,8.81537,8.874328,5
0.2937703,1.2947131,6.9439025,0
2.9730294,1.729639,9.8947525,0
10.31994,5.4357057,4.3658094,3
-1.1660463,8.595849,8.892796,5
3.4791968,2.2156954,8.57662,6
4.623929,1.4961342,9.535498,4
10.494071,5.808962,3.2528875,3
5.603801,-1.2068193,10.485884,1
5.501476,0.58860266,4.554903,6
-1.1869656,8.574215,8.649626,5
1.6959273,1.4293021,8.8123255,2
2.016352,-1.0681821,7.287008,3
10.494799,4.347398,4.861344,4
7.63215,0.19819899,3.3144968,3
4.1773186,0.4182765,6.675751,0
2.2122457,1.2860935,8.920325,0
5.709192,1.2538937,3.362651,6
11.500327,4.1201506,3.623071,3
6.654037,-0.27133256,2.749162,6
6.01964,0.90834683,4.514633,6
3.7202504,1.3250492,9.681982,0
5.5002065,-1.1249399,10.664568,1
11.613235,5.665006,4.7618375,3
11.966428,5.3926625,4.1184525,3
10.72179,3.1228724,3.1427178,3
5.684111,0.7905267,8.396541,0
5.1096754,0.58823156,6.739069,6
2.2157085,-1.3264247,4.5182333,4
0.14163934,2.4909465,8.050833,2
3.557802,-0.4956387,6.6354465,4
10.269484,7.342351,6.0897994,3
11.216577,6.754051,5.3337154,3
5.655915,2.2193174,2.5581303,6
-0.9159873,8.009376,8.57428,5
2.5069754,-1.6670473,6.024603,4
-0.30327246,2.890858,7.9158487,2
4.816885,1.6839426,3.6934378,6
1.6956533,-1.0636988,7.379328,0
4.886938,-0.361586,7.673257,1
4.290896,1.4177915,9.760809,0
3.038527,-0.5415468,4.60954,6
-0.42866513,1.5513908,7.0210786,2
4.758621,1.36229,9.512947,0
2.3405073,2.050914,9.443505,0
11.323701,4.9500394,4.0977693,3
11.461793,6.0814333,4.9215817,3
2.4561908,-1.957608,6.327066,4
-0.4756329,2.3489711,7.3660326,2
5.7075257,0.66497517,5.79051,6
-1.5661293,7.357876,8.625749,5
11.198211,4.329917,4.0961804,3
